held_out_subject,label,precision,recall,f1,support,behavior_type
1,Attacking,0.8873239436619719,0.42857142857142855,0.5779816513761468,147,Unusual
1,Biting nails,1.0,0.4702702702702703,0.6397058823529411,185,Unusual
1,Eating snacks,0.5459016393442623,0.6809815950920245,0.6060054595086443,489,Normal
1,Head banging,1.0,0.896,0.9451476793248945,125,Unusual
1,Sitting quietly,0.6045918367346939,0.49894736842105264,0.5467128027681661,475,Normal
1,Throwing things,0.6203208556149733,0.7785234899328859,0.6904761904761905,149,Unusual
1,Using phone,0.43675417661097854,0.5027472527472527,0.4674329501915709,364,Normal
1,Walking,0.8872458410351202,0.9896907216494846,0.935672514619883,485,Normal
2,Attacking,0.8,0.6947368421052632,0.7436619718309859,190,Unusual
2,Biting nails,0.7931034482758621,0.25,0.38016528925619836,92,Unusual
2,Eating snacks,0.7398945518453427,0.864476386036961,0.7973484848484849,487,Normal
2,Head banging,0.97,0.751937984496124,0.8471615720524017,129,Unusual
2,Sitting quietly,0.5401376146788991,0.9651639344262295,0.6926470588235294,488,Normal
2,Throwing things,0.7398373983739838,0.7,0.7193675889328063,130,Unusual
2,Using phone,0.0,0.0,0.0,364,Normal
2,Walking,0.9700854700854701,0.9458333333333333,0.9578059071729957,480,Normal
3,Attacking,0.7129629629629629,0.88,0.7877237851662404,175,Unusual
3,Biting nails,0.29310344827586204,0.11604095563139932,0.16625916870415647,293,Unusual
3,Eating snacks,0.3308457711442786,0.7556818181818182,0.4602076124567474,352,Normal
3,Head banging,0.5625,0.04433497536945813,0.0821917808219178,203,Unusual
3,Sitting quietly,0.9707792207792207,0.32785087719298245,0.4901639344262295,912,Normal
3,Throwing things,0.31390134529147984,0.5737704918032787,0.4057971014492754,122,Unusual
3,Using phone,0.40122199592668023,0.4918851435705368,0.44195176668536174,801,Normal
3,Walking,0.7441860465116279,0.95952023988006,0.8382449246889325,667,Normal
5,Attacking,1.0,0.959731543624161,0.9794520547945206,149,Unusual
5,Biting nails,1.0,0.3064516129032258,0.4691358024691358,186,Unusual
5,Eating snacks,0.35944299390774587,0.8731501057082452,0.5092478421701603,473,Normal
5,Head banging,1.0,0.9767441860465116,0.9882352941176471,129,Unusual
5,Sitting quietly,0.5526315789473685,0.1696969696969697,0.2596599690880989,495,Normal
5,Throwing things,0.9632352941176471,0.9849624060150376,0.9739776951672863,133,Unusual
5,Using phone,0.9701492537313433,0.38461538461538464,0.5508474576271186,338,Normal
5,Walking,0.9854469854469855,0.9978947368421053,0.9916317991631799,475,Normal
